"cc_lv","cc_av","pav_lv","pav_av","av_lv","av_av","nc","nv","g","p","phi","l","k"
1500,773,2731.27857142858,2100.90357142858,6138,6184,24,1500,2,0.5,0,1,8
1500,783,3072.65000000002,2128.08214285715,5934,6264,24,1500,2,0.5,0,1,8
1500,763,3125.00000000005,2073.72500000001,6000,6104,24,1500,2,0.5,0,1,8
1500,766,3125.00000000005,2081.87857142858,6000,6128,24,1500,2,0.5,0,1,8
1500,791,3105.95000000002,2149.82500000001,6082,6328,24,1500,2,0.5,0,1,8
1500,1500,2928.29999999997,3071.30000000001,5856,5928,24,1500,2,0.5,0,1,8
1500,753,2699.42142857144,2046.54642857144,6018,6024,24,1500,2,0.5,0,1,8
1500,1500,2638.89285714287,3103.25000000002,5790,6070,24,1500,2,0.5,0,1,8
1500,759,2971.04999999998,2062.85357142858,6036,6072,24,1500,2,0.5,0,1,8
1500,755,3089.75000000002,2051.98214285715,6010,6040,24,1500,2,0.5,0,1,8
1500,758,3125.00000000005,2060.13571428572,6000,6064,24,1500,2,0.5,0,1,8
1500,1500,2958.69999999998,2958.69999999998,5984,5984,24,1500,2,0.5,0,1,8
1500,764,2716.94285714287,2076.44285714287,6084,6112,24,1500,2,0.5,0,1,8
1500,755,3125.00000000005,2051.98214285715,6000,6040,24,1500,2,0.5,0,1,8
1500,778,3100.10000000001,2114.49285714287,6056,6224,24,1500,2,0.5,0,1,8
1500,1500,2654.82142857144,2654.82142857144,5850,5850,24,1500,2,0.5,0,1,8
1500,761,3082.55000000001,2068.28928571429,5978,6088,24,1500,2,0.5,0,1,8
1500,755,2702.60714285715,2051.98214285715,6030,6040,24,1500,2,0.5,0,1,8
1500,1500,2650.04285714286,2935.89999999998,5832,5888,24,1500,2,0.5,0,1,8
1500,771,3096.95000000002,2095.46785714287,6042,6168,24,1500,2,0.5,0,1,8
1500,776,2937.79999999997,2109.05714285715,5896,6208,24,1500,2,0.5,0,1,8
1500,791,3125.00000000005,2149.82500000001,6000,6328,24,1500,2,0.5,0,1,8
1500,1500,2694.64285714287,2694.64285714287,6000,6000,24,1500,2,0.5,0,1,8
1500,753,2699.42142857144,2046.54642857144,6018,6024,24,1500,2,0.5,0,1,8
1500,755,3089.75000000002,2051.98214285715,6010,6040,24,1500,2,0.5,0,1,8
1500,1500,2656.41428571429,2939.69999999998,5856,5904,24,1500,2,0.5,0,1,8
1500,1500,2673.93571428572,2974.84999999998,5922,6052,24,1500,2,0.5,0,1,8
1500,1500,2956.79999999997,3090.20000000002,5976,6012,24,1500,2,0.5,0,1,8
1500,752,3125.00000000005,2043.82857142858,6000,6016,24,1500,2,0.5,0,1,8
1500,763,2715.35000000001,2073.72500000001,6078,6104,24,1500,2,0.5,0,1,8
1500,758,3091.10000000002,2060.13571428572,6016,6064,24,1500,2,0.5,0,1,8
1500,1500,3067.70000000002,2764.72857142858,5912,6264,24,1500,2,0.5,0,1,8
1500,768,3095.60000000001,2087.31428571429,6036,6144,24,1500,2,0.5,0,1,8
1500,752,2697.82857142858,2043.82857142858,6012,6016,24,1500,2,0.5,0,1,8
1500,764,2975.79999999997,2076.44285714287,6056,6112,24,1500,2,0.5,0,1,8
1500,1500,2929.24999999998,3125.00000000005,5860,6000,24,1500,2,0.5,0,1,8
1500,757,3125.00000000005,2057.41785714287,6000,6056,24,1500,2,0.5,0,1,8
1500,1500,2950.14999999998,2715.35000000001,5948,6078,24,1500,2,0.5,0,1,8
1500,751,3125.00000000005,2041.11071428572,6000,6008,24,1500,2,0.5,0,1,8
1500,1500,3125.00000000005,2740.83571428572,6000,6174,24,1500,2,0.5,0,1,8
1500,1500,2627.74285714286,2627.74285714286,5748,5748,24,1500,2,0.5,0,1,8
1500,758,3091.10000000001,2060.13571428572,6016,6064,24,1500,2,0.5,0,1,8
1500,764,3093.80000000002,2076.44285714287,6028,6112,24,1500,2,0.5,0,1,8
1500,1500,2953.94999999997,2953.94999999997,5964,5964,24,1500,2,0.5,0,1,8
1500,758,2707.38571428572,2060.13571428572,6048,6064,24,1500,2,0.5,0,1,8
1500,1500,2956.79999999998,3125.00000000005,5976,6000,24,1500,2,0.5,0,1,8
1500,768,3079.40000000002,2087.31428571429,5964,6144,24,1500,2,0.5,0,1,8
1500,756,2704.20000000001,2054.70000000001,6036,6048,24,1500,2,0.5,0,1,8
1500,763,3081.65000000002,2073.72500000001,5974,6104,24,1500,2,0.5,0,1,8
1500,790,2758.35714285715,2147.10714285715,6240,6320,24,1500,2,0.5,0,1,8
1500,761,2972.94999999997,2068.28928571429,6044,6088,24,1500,2,0.5,0,1,8
1500,757,3125.00000000005,2057.41785714287,6000,6056,24,1500,2,0.5,0,1,8
1500,771,3125.00000000005,2095.46785714287,6000,6168,24,1500,2,0.5,0,1,8
1500,1500,2955.84999999998,3084.35000000002,5972,5986,24,1500,2,0.5,0,1,8
1500,1500,2653.22857142858,2937.79999999998,5844,5896,24,1500,2,0.5,0,1,8
1500,751,2696.23571428572,2041.11071428572,6006,6008,24,1500,2,0.5,0,1,8
1500,760,2971.99999999998,2065.57142857144,6040,6080,24,1500,2,0.5,0,1,8
1500,756,3090.20000000002,2054.70000000001,6012,6048,24,1500,2,0.5,0,1,8
1500,756,3090.20000000002,2054.70000000001,6012,6048,24,1500,2,0.5,0,1,8
1500,1500,2938.74999999998,2734.46428571429,5900,6150,24,1500,2,0.5,0,1,8
1500,1500,3084.35000000002,2705.79285714287,5986,6042,24,1500,2,0.5,0,1,8
1500,765,2948.24999999998,2079.16071428572,5940,6120,24,1500,2,0.5,0,1,8
1500,1500,3073.55000000002,2744.02142857144,5938,6186,24,1500,2,0.5,0,1,8
1500,1500,2648.45000000001,3074.45000000002,5826,5942,24,1500,2,0.5,0,1,8
1500,1500,3125.00000000005,2747.20714285715,6000,6198,24,1500,2,0.5,0,1,8
1500,760,3083.00000000002,2065.57142857144,5980,6080,24,1500,2,0.5,0,1,8
1500,791,3125.00000000005,2149.82500000001,6000,6328,24,1500,2,0.5,0,1,8
1500,759,3125.00000000005,2062.85357142858,6000,6072,24,1500,2,0.5,0,1,8
1500,1500,2947.29999999998,2977.69999999997,5936,6064,24,1500,2,0.5,0,1,8
1500,1500,2946.34999999997,3095.15000000002,5932,6034,24,1500,2,0.5,0,1,8
1500,754,2701.01428571429,2049.26428571429,6024,6032,24,1500,2,0.5,0,1,8
1500,760,2710.57142857144,2065.57142857144,6060,6080,24,1500,2,0.5,0,1,8
1500,773,3125.00000000005,2100.90357142858,6000,6184,24,1500,2,0.5,0,1,8
1500,775,3125.00000000005,2106.33928571429,6000,6200,24,1500,2,0.5,0,1,8
1500,760,3125.00000000005,2065.57142857144,6000,6080,24,1500,2,0.5,0,1,8
1500,758,3125.00000000005,2060.13571428572,6000,6064,24,1500,2,0.5,0,1,8
1500,1500,2933.99999999998,2742.42857142858,5880,6180,24,1500,2,0.5,0,1,8
1500,762,2713.75714285715,2071.00714285715,6072,6096,24,1500,2,0.5,0,1,8
1500,751,3125.00000000005,2041.11071428572,6000,6008,24,1500,2,0.5,0,1,8
1500,1500,2946.34999999998,2721.72142857144,5932,6102,24,1500,2,0.5,0,1,8
1500,1500,2661.19285714287,2661.19285714287,5874,5874,24,1500,2,0.5,0,1,8
1500,761,2972.94999999997,2068.28928571429,6044,6088,24,1500,2,0.5,0,1,8
1500,765,2718.53571428572,2079.16071428572,6090,6120,24,1500,2,0.5,0,1,8
1500,1500,2941.59999999998,3125.00000000005,5912,6000,24,1500,2,0.5,0,1,8
1500,770,3096.50000000001,2092.75000000001,6040,6160,24,1500,2,0.5,0,1,8
1500,798,3008.09999999997,2168.85000000001,6192,6384,24,1500,2,0.5,0,1,8
1500,784,3072.20000000002,2130.80000000001,5932,6272,24,1500,2,0.5,0,1,8
1500,783,2993.84999999997,2128.08214285715,6132,6264,24,1500,2,0.5,0,1,8
1500,1500,2662.78571428572,2662.78571428572,5880,5880,24,1500,2,0.5,0,1,8
1500,758,2970.09999999997,2060.13571428572,6032,6064,24,1500,2,0.5,0,1,8
1500,1500,2638.89285714287,2929.24999999998,5790,5860,24,1500,2,0.5,0,1,8
1500,801,2914.04999999998,2177.00357142858,5796,6408,24,1500,2,0.5,0,1,8
1500,766,3125.00000000005,2081.87857142858,6000,6128,24,1500,2,0.5,0,1,8
1500,1500,3087.50000000001,2962.49999999997,6000,6000,24,1500,2,0.5,0,1,8
1500,755,2967.24999999997,2051.98214285715,6020,6040,24,1500,2,0.5,0,1,8
